shot_id,cycle_time_s,cast_pressure_bar,hi_v_mm_s,p_rise_bar,filling_time_s,biscuit_thickness_mm,die_temperature_c,shot_weight_kg,reject
1,63.158,756.831,134.927,215.53,0.4262,9.579,219.373,3.167,0
2,58.048,769.075,148.584,230.131,0.4325,9.481,218.22,3.281,0
3,64.852,789.133,149.708,199.92,0.4175,9.802,218.03,3.173,0
4,65.574,780.123,140.154,220.599,0.4375,9.712,215.797,3.244,0
5,54.586,764.212,134.202,208.186,0.4156,8.455,211.488,3.213,0
6,57.052,765.143,129.01,212.931,0.3998,9.691,210.331,3.252,0
7,62.486,767.445,143.269,196.437,0.4587,9.149,221.508,3.208,0
8,60.798,763.508,137.57,220.11,0.4132,9.002,218.68,3.084,0
9,61.936,821.034,140.705,215.347,0.3995,9.434,211.526,3.271,0
10,58.758,783.572,142.322,209.099,0.4179,9.644,214.81,3.194,0
11,65.342,797.8,144.033,214.948,0.4168,8.926,213.9,3.255,0
12,64.956,772.822,153.876,205.829,0.4148,9.747,209.714,3.248,0
13,62.251,776.791,132.118,202.53,0.4205,9.767,215.918,3.146,0
14,66.284,769.512,131.764,203.381,0.4219,9.516,213.437,3.136,0
15,63.777,733.246,138.744,193.802,0.4348,9.196,210.451,3.246,0
16,58.735,753.4,146.517,217.228,0.3842,9.157,207.212,3.179,1
17,63.401,748.18,130.239,216.285,0.4618,9.859,207.349,3.266,0
18,58.356,737.5,127.825,200.611,0.428,8.971,212.706,3.188,0
19,65.338,760.319,143.409,212.436,0.4354,9.873,214.975,3.272,0
20,61.81,803.745,135.834,205.859,0.3893,9.442,210.601,3.23,0
21,61.298,778.814,131.616,209.682,0.4118,9.466,218.169,3.22,0
22,59.412,801.807,149.577,205.986,0.4024,8.902,214.362,3.174,0
23,66.646,789.953,158.835,205.976,0.444,9.449,218.442,3.216,0
24,61.413,793.763,146.079,218.654,0.406,9.715,214.015,3.283,0
25,60.372,762.889,140.573,208.515,0.4379,9.032,210.869,3.196,0
26,60.662,788.695,155.545,228.497,0.4061,9.675,215.41,3.237,0
27,64.023,794.229,164.017,214.554,0.4083,9.531,208.929,3.203,0
28,63.389,770.384,138.077,201.068,0.418,9.275,217.864,3.209,0
29,63.568,790.934,148.162,220.511,0.4404,9.799,210.502,3.321,0
30,63.637,791.092,161.082,218.584,0.3832,8.729,219.788,3.284,0
31,70.138,774.584,132.72,213.113,0.3977,9.621,214.284,3.206,0
32,60.456,758.941,145.875,219.717,0.3902,10.067,220.127,3.215,0
33,60.053,757.615,131.156,201.732,0.406,10.004,209.153,3.151,0
34,58.908,779.856,145.674,209.13,0.4054,9.636,211.24,3.188,0
35,64.341,787.174,145.454,208.728,0.3891,9.394,217.186,3.222,0
36,66.29,768.094,134.722,197.413,0.4098,9.277,221.367,3.26,0
37,61.567,780.24,138.19,206.393,0.3837,9.394,223.281,3.252,0
38,58.807,788.514,149.489,221.679,0.3995,9.69,214.824,3.122,0
39,58.867,789.404,154.79,214.053,0.4393,9.217,223.813,3.268,0
40,64.472,809.294,152.88,200.965,0.4199,9.765,213.848,3.194,0
41,64.824,804.539,152.853,199.281,0.4172,10.247,220.833,3.131,0
42,64.064,763.112,143.932,223.083,0.4062,9.478,210.537,3.294,0
43,59.471,808.914,146.873,209.689,0.3851,9.029,216.798,3.302,0
44,62.882,770.928,147.456,205.361,0.4018,9.029,203.397,3.218,0
45,62.443,799.052,156.451,210.327,0.4145,9.772,209.445,3.25,0
46,62.831,781.681,163.73,202.302,0.4352,9.479,217.433,3.254,0
47,65.311,774.403,140.688,220.436,0.4376,9.807,208.835,3.298,0
48,62.85,747.929,132.172,204.033,0.4394,9.313,217.237,3.251,0
